p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,Class
-0.002254902,-0.002254902,-0.002254902,-0.001977124,-0.002254902,-0.002254902,-0.001977124,-0.002254902,-0.002254902,-0.00253268,2.78E-17,-2.78E-17,-0.002222222,-0.038856209,-0.083647582,-0.08374183,-0.037928627,-0.001944444,-2.78E-17,0,2.78E-17,0.000277778,0.006111111,0.003611111,-0.055486405,-0.055392157,0.003333333,0.005555556,0.000277778,0,2.78E-17,-2.78E-17,0.002777778,0.059477124,0.063366013,0.063832288,0.059665621,0.002777778,-2.78E-17,0,2.78E-17,-2.78E-17,0.005,0.059653072,0.086421569,0.086421569,0.05872549,0.005,-2.78E-17,0,2.78E-17,-2.78E-17,0.026735817,0.073647582,0.091180261,0.090902484,0.074019608,0.026830065,-2.78E-17,0,2.78E-17,-2.78E-17,0.000277778,0.008137255,0.109575163,0.109019608,0.007581699,0.000277778,-2.78E-17,0,0.003088235,0.003088235,0.003088235,0.003088235,0.003088235,0.003088235,0.003088235,0.003088235,0.003088235,0.003088235,albania
-0.001483137,0.00390902,-0.000691242,0.00040732,0.006347451,0.003148627,-0.000642222,-0.001197778,-0.000547974,-0.001197778,-0.007946144,0.001956993,0.002140523,-0.002719739,-0.009231765,-0.015090196,-0.012127712,0.000372026,-0.001111111,-0.001299608,-0.002316471,0.003043007,0.003509281,0.001552288,-0.001533333,-0.01052902,-0.00717817,-0.003129673,-0.00239817,0.000560523,-0.00010183,0.000922614,0.002033725,0.013586928,0.013214902,0.010665882,0.005767712,-0.000912418,-0.000188497,0.000555556,0.001220523,0.00119281,0.001748366,0.012177908,0.016786928,0.027690588,0.022933333,0.001205359,0.001016863,0.001572418,-0.00382732,-0.003422614,0.01250732,0.019454118,0.01089085,0.01330915,0.02696549,0.013225098,0.006041961,0.005012549,0.003427582,0.001503268,0.001430327,0.009508366,0.024401307,0.023370719,0.009639085,0.007620523,0.003068105,0.00380719,0.003432549,-0.000744052,-0.002688497,-0.000833333,0.004955686,0.008485098,0.001463007,0.001835033,-9.42E-05,0.000372026,albania
-2.78E-17,-2.78E-17,-2.78E-17,0.000555556,0.000555556,0.000555556,0.000555556,-2.78E-17,-2.78E-17,-2.78E-17,-2.78E-17,0.000277778,0.000196078,-0.029084967,-0.047401961,-0.047957516,-0.030915033,-0.002026144,-1.39E-17,-2.78E-17,-2.78E-17,-2.78E-17,0.005800654,-1.39E-17,-0.046797386,-0.049656863,-0.002107843,0.00746732,2.78E-17,-2.78E-17,-2.78E-17,0.000277778,0.006437908,0.035751634,0.028480392,0.027647059,0.034918301,0.007826797,0.000277778,-2.78E-17,-2.78E-17,-2.78E-17,0.018513072,0.056372549,0.053153595,0.054901961,0.058411242,0.019048497,0.000277778,-2.78E-17,-2.78E-17,0.000277778,0.009656863,0.024836601,0.012679739,0.012062614,0.025669935,0.011683007,0.000277778,-2.78E-17,-2.78E-17,-2.78E-17,0.000555556,0.025588235,0.084346405,0.086650327,0.029084967,0.000555556,-2.78E-17,-2.78E-17,-2.78E-17,-2.78E-17,-2.78E-17,0.000555556,0.001552288,0.001552288,0.000555556,-2.78E-17,-2.78E-17,-2.78E-17,albania
0.005838301,0.005282745,0.006116078,0.007415686,0.008621046,0.008621046,0.007415686,0.006116078,0.005282745,0.005282745,1.39E-17,0,0.002316471,-0.036749281,-0.064780654,-0.064780654,-0.037399085,0.002316471,-1.39E-17,1.39E-17,1.39E-17,0,0.006319739,-0.005004967,-0.063672157,-0.063672157,-0.00472719,0.006597516,-1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.00482902,0.033884837,0.027850458,0.027009542,0.032766144,0.004551242,0,1.39E-17,1.39E-17,0.000372026,0.003244052,0.068778954,0.063116601,0.062838824,0.068223399,0.002966275,0.000372026,1.39E-17,1.39E-17,0.000555556,0.045757516,0.157508627,0.13940549,0.139127712,0.157508627,0.045757516,0.000555556,1.39E-17,0.000833333,0.000833333,0.006034379,0.045194379,0.162791373,0.162791373,0.045194379,0.006034379,0.000833333,0.000833333,-0.005282745,-0.005282745,-0.005004967,-0.004171634,-0.005282745,-0.005282745,-0.004077386,-0.005004967,-0.005282745,-0.005282745,albania
0.005662353,0.021181438,0.001103529,0.012631895,0.018212549,0.008546928,0.007708627,0.011711895,0.009665621,-0.002410719,-0.006500654,0.020442353,0.005384575,-0.04679451,-0.079282876,-0.085798693,-0.018192418,0.006589935,0.013931503,0.030844444,0.002410719,0.006503268,0.017652026,-0.008913987,-0.070462222,-0.059772157,0.016905359,0.014487059,0.005940131,0.047194248,0.007889542,-0.007619346,-0.000833333,0.075194379,0.074904052,0.078912288,0.044044444,0.010863399,0.00826915,-0.008358431,0.013011503,0.006041961,0.014581307,0.048481307,0.04812183,0.046442614,0.03129817,-0.023502876,-0.01922183,0.012733725,0.006589935,0.003244052,0.041315686,0.138263137,0.12261098,0.158542092,0.11283098,0.050081438,0.052492157,0.044775948,0.009110065,0.01580183,0.008633595,0.067965752,0.121201961,0.107262876,0.060448235,0.01097281,0.0314,0.031216471,0.004092549,0.009387843,0.001855163,-0.007986405,0.012448366,0.012542614,0.014683137,0.023135817,-0.003162353,7.58E-06,albania
0.001577386,0.003055556,-0.001002876,-0.000990327,-9.16E-05,-0.002903268,-0.005087843,-0.001246797,0.001294641,-0.001111111,-0.003338301,0.00222719,0.001686797,0.000565752,-0.005743791,-0.008892418,-0.006701699,-0.002053856,-0.000461307,-0.000183529,-0.001760915,0.006136209,0.002229804,0.001572418,-0.000340523,-0.00552902,-0.004293595,-0.003047974,-0.001483137,-0.000277778,0.001205359,0.001111111,0.003231503,0.009881569,0.008953987,0.006886405,0.005660915,-0.002316471,-0.000644837,-0.000183529,0.00027281,0.000649804,0.001197778,0.009935556,0.013004837,0.016807059,0.014204052,0.004416732,0.001212941,0.000555556,0.001768497,-0.001381307,0.009783529,0.012551111,0.003553072,0.002755033,0.019359869,0.00868,0.001850196,0.001666667,0.002316471,-0.002966275,0.007629281,0.009133725,0.012700784,0.018180784,0.011621176,0.010473595,0.000367059,0.001577386,8.67E-05,-0.002504967,-0.003244052,0.000739085,0.005426928,0.010059869,0.000833333,0.00342,0.000560523,0.001116078,albania
-1.39E-17,-1.39E-17,0.001944444,0.005833333,0.005833333,0.005833333,0.005833333,0.001944444,-1.39E-17,-1.39E-17,-1.39E-17,0.000833333,0.000583268,-0.00065451,-0.004018824,-0.004953987,-0.000932288,0.00030549,0.000555556,-1.39E-17,-1.39E-17,6.94E-18,0.000175948,-0.001665229,-0.00510366,-0.00421634,-0.002600392,0.000277778,-2.78E-17,-1.39E-17,-1.39E-17,0.000277778,0.000379608,0.006723922,0.006324183,0.004176078,0.004575817,0.001314771,0.000277778,-1.39E-17,-1.39E-17,0.000277778,0.002118954,0.004765752,0.005403007,0.005403007,0.004765752,0.002024706,0.000277778,-1.39E-17,-1.39E-17,0.000555556,0.002402876,0.017660915,0.015540523,0.015540523,0.017755163,0.002497124,0.000555556,-1.39E-17,-1.39E-17,0.000277778,0.00037817,0.00452183,0.00982915,0.00982915,0.00452183,0.00037817,0.000277778,-1.39E-17,-1.39E-17,-1.39E-17,0.000277778,0.000277778,-0.000333203,-0.000333203,0.000277778,0.000277778,-1.39E-17,-1.39E-17,albania
-2.78E-17,-2.78E-17,0.002696078,0.005669935,0.005669935,0.006597516,0.005947712,0.003251634,-2.78E-17,-2.78E-17,-2.78E-17,-2.78E-17,0.001483137,-0.039215686,-0.105744052,-0.097479869,-0.049620392,-0.003251634,0.000927582,-2.78E-17,-2.78E-17,0.000935163,0.005669935,0.002316471,-0.067361699,-0.073681438,-0.002696078,0.006875294,0,-2.78E-17,-2.78E-17,0.000935163,0.002418301,0.076662876,0.087623137,0.085760392,0.081581176,0.002973856,0.000277778,-2.78E-17,-2.78E-17,0.001212941,0.009199346,0.066434118,0.107504967,0.108717908,0.081405229,0.013934118,0,-2.78E-17,-2.78E-17,0.000277778,0.034751111,0.118465229,0.130266405,0.141226667,0.116602484,0.04609098,0.000277778,-2.78E-17,-2.78E-17,-2.78E-17,0.001212941,0.003536993,0.133991895,0.143746797,0.004186797,0.000555556,-2.78E-17,-2.78E-17,-2.78E-17,-2.78E-17,-2.78E-17,0.000277778,0.000555556,0.000555556,0.000277778,-2.78E-17,-2.78E-17,-2.78E-17,albania
0.002614379,0,9.42E-05,0.002410719,0.005106797,0.005384575,0.002782745,9.42E-05,0,0,0,0,0.001111111,-0.004327451,-0.03648902,-0.036662353,-0.006651503,0.000372026,0,0,0,0,0.000825752,0.000649804,-0.01522732,-0.015747582,0.002058824,0.000833333,0,0,0,0,0.001212941,0.010892288,0.028530327,0.033252549,0.01522732,0.000277778,0,0,0,0,0.000657386,0.010168366,0.013486536,0.010395686,0.006149935,0.0025,0,0,0,0,0.000555556,0.030201961,0.066041176,0.064186013,0.033899739,0.000555556,0,0,0,0,0,-0.000277778,0.038053856,0.03888719,0.000359477,0,0,0,0,0,0,0.000277778,0.000555556,0.000555556,0.000277778,0,0,0,albania
0.005555556,0.006572418,0.007777778,0.007574118,0.007750065,0.007750065,0.007851895,0.008333333,0.006572418,0.005555556,0.005,0.006111111,0.006748366,0.007283791,0.007663399,0.007941176,0.007283791,0.006470588,0.006388889,0.005372026,0.003516863,0.004166667,0.006294641,0.008426405,0.033467843,0.033839869,0.012149281,0.006572418,0.003888889,0.003239085,0.001666667,0.001944444,0.002675948,0.004485882,0.018496732,0.021572418,0.009575163,0.002675948,0.002222222,0.001944444,-0.000555556,-0.000555556,-0.000555556,0.011862745,0.004162876,0.002965098,0.007487451,-0.000833333,-0.000833333,-0.000833333,-0.002311503,-0.002120392,0.000624706,0.02886,0.023770719,0.021813725,0.026062092,-0.000310458,-0.002120392,-0.002311503,-0.003705359,-0.004905752,-0.005535425,-0.004878039,-0.00136,-0.001265752,-0.004972288,-0.005629673,-0.005,-0.003799608,-0.002594248,-0.003055556,-0.003888889,-0.004166667,-0.002851895,-0.002574118,-0.004166667,-0.003888889,-0.002961307,-0.0025,albania
