p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,Class
-0.003088235,0,0,0.000555556,0.0025,0.000555556,0.0025,0.000277778,0,0.005898693,-0.003088235,0,-0.003888889,-0.008218954,0.031654118,0.009640523,0.060245098,0.052095294,0.000277778,0.005343137,-0.003088235,0,-0.005,-0.070759216,0.015726536,0.019558824,0.161078431,0.081879085,0.000277778,0.005343137,-0.003088235,0,-0.0025,-0.098745621,-0.005649804,0.074685752,0.156160131,0.076601307,0,0.005343137,-0.003088235,0,-0.002777778,-0.024350196,-0.036793595,0.108378562,0.092340392,0.076045752,0,0.005343137,-0.003088235,0,-0.001666667,-0.008598562,-0.087790327,0.120555556,0.03254902,0.045604575,0,0.005343137,-0.003088235,0,0,0.000555556,-0.025915033,0.07496732,0.007859477,0.000277778,0,0.005343137,-0.003088235,0,0,0,-0.000277778,0.000833333,0,0,0,0.005343137,albania
0.013052941,-0.000805621,0.010930196,-0.014506013,0.020107974,0.016273333,0.000738824,-0.000713987,-0.012864444,-0.004072418,0.026498039,0.004003268,0.000529281,-0.021940392,0.018399869,-0.001239477,0.019676471,0.01545085,-0.013127059,-0.002867059,0.032053595,0.023626013,-0.000224967,-0.023721438,0.004239608,-0.00321281,0.028238301,0.023474902,-0.014461961,-0.002405752,0.029365098,0.032527451,-0.003211373,-0.016300523,0.000339346,-0.005323268,0.034163529,0.030365359,-0.009268497,-0.0025,0.027968627,0.029920654,-0.001144967,0.008680261,-0.005353072,0.015443268,0.025361569,0.029343529,-0.007495033,-0.002410719,0.02760915,0.02656719,0.00288719,0.007698693,-0.025277516,0.033546405,-0.00059085,0.01824,-0.004739739,-0.003799608,0.02891634,0.020774118,0.011936863,-0.005473856,-0.006657647,0.037692941,0.003697778,-0.003149804,0.000927582,-0.004255948,0.026138562,0.011222876,0.01722719,0.009233203,0.021515817,0.009962092,0.009625359,-0.007956078,0.00390902,-0.004255948,albania
0,0,0,0.000277778,0.001748366,0.000555556,0.00119281,0.000555556,0,0,0,0.000277778,-0.003415033,-0.005604575,0.031584967,0.000277778,0.02630719,0.04620915,0.000555556,0,0,0,-0.003300654,-0.016405229,0.006633987,0.020273987,0.089901961,0.069689542,0.000833333,0,0,0,-0.002581699,-0.052075163,-0.009297386,0.049297386,0.098663922,0.067385621,0.000833333,0,0,0,0.000277778,-0.025506536,-0.036111111,0.063284314,0.062716209,0.050816993,0.000555556,0,0,0,0.000277778,-0.01629085,-0.043660131,0.073022876,0.03996732,0.019591503,0.000555556,0,0,0,0,-0.000277778,-0.021813725,0.061143791,0.040326797,0.000555556,0,0,0,0,0,0,0.000277778,0.001748366,0.000555556,0,0,0,albania
0.005004967,0,0.000277778,0.002504967,0.000555556,0.001299608,0.000555556,0.000927582,0.000833333,-0.004449412,0.004449412,0.000277778,0.000277778,-0.006589935,0.036201307,0.000372026,0.058652026,0.065343791,0.000833333,-0.004449412,0.004449412,-0.000277778,0.006867712,-0.028485098,0.010409673,0.028120654,0.188784052,0.10478915,0.001205359,-0.004449412,0.004449412,-0.000833333,0.010037647,-0.079810719,0.000392157,0.028859739,0.204484052,0.099310327,0.001949412,-0.004449412,0.004449412,-0.000833333,0.008174902,-0.054202614,-0.02626549,0.0774,0.135700131,0.102648627,0.001577386,-0.004449412,0.004449412,-0.000833333,0.004449412,-0.028762876,-0.065433072,0.111190588,0.09011098,0.081212157,0.001111111,-0.004449412,0.004449412,0,0.000649804,0.003068105,-0.030816732,0.091244837,0.025241046,0.005662353,0.000833333,-0.004449412,0.004449412,0,0,0.000555556,0.001760915,0.000277778,0.000927582,0.000277778,0.000833333,-0.004449412,albania
-0.000555556,0.005297908,0.039855294,0.014377647,0.004179216,0.006778431,-0.006961961,0.004732157,0.049334771,0.033721438,0.010119346,-0.001577386,0.005399739,0.000759216,0.017751242,0.038193595,0.056261438,0.038076601,0.006786013,0.006786013,0.017359085,0.017738693,-0.03009281,-0.067411634,0.017473464,0.059529673,0.128026797,0.07559268,0.013559477,0.028981699,0.003157386,0.018294248,-0.014663007,-0.056074379,-0.002140523,0.104595948,0.157755163,0.053580523,0.011059477,0.027037255,-0.016912941,0.011434118,-0.014122614,-0.017088889,-0.037278562,0.133401699,0.12460183,0.071976601,-0.002222222,-0.013289281,0.004456993,-0.001768497,0.011696732,-0.02274366,-0.047777516,0.137227582,0.089226275,0.010381961,0.010593203,0.009482092,0.010221176,-0.023597124,0.040591765,0.036412549,-0.018857386,0.112295556,0.019316078,0.00372549,0.026285621,0.014494641,0.003251634,-0.017465882,0.020806797,0.070320131,0.002599216,0.003060523,0.003447712,-0.026015425,0.048590719,0.056487843,albania
-0.001116078,0.000270196,0.012758824,-0.007875556,0.018689935,0.01062732,0.002076078,0.001181438,-0.005657386,-0.0025,0.008906405,0.001363791,0.003098431,-0.016315686,0.016040523,-0.006421569,0.008511373,0.014046797,-0.007589281,-0.001483137,0.02634719,0.001187843,-0.00158732,-0.014451765,0.005020131,-0.004237255,0.014143399,0.017405229,-0.007222222,-0.000555556,0.030980131,0.000183529,0.00072915,-0.010641961,0.003231503,-0.008748235,0.013105229,0.021612157,-0.003244052,-0.000277778,0.028480131,0.005478824,-0.001309542,0.006743399,-0.005231111,0.007903268,0.004950719,0.020920915,-0.002790327,-0.000833333,0.024402745,0.007983791,-0.001186405,0.010448758,-0.018537647,0.028629281,-0.007204706,0.014322222,-0.001383922,-0.000927582,0.017440784,0.004632941,0.008628627,0.001407843,-0.010407974,0.03321817,0.007315033,-0.00174719,0.000188497,-0.001755948,0.010756601,-7.91E-05,0.016064444,0.001299608,0.012987582,0.007450719,0.006500654,-0.01010183,0.000833333,9.42E-05,albania
0,0,0.001111111,0.002324052,0,0.002324052,0.000277778,0.000277778,0,0,0,0.001666667,0.000435033,0.000501569,0.000308758,0.002322614,0.003140523,0.003484837,0.000277778,0,0,0.002222222,0.001296078,-0.004887451,0.00222549,0.002736078,0.012491111,0.012727451,0.000833333,0,0,0.002222222,0.001018301,-0.002402876,-0.000535425,0.009995425,0.012537516,0.014272157,0.000833333,0,0,0.002222222,0.002935033,7.58E-06,-0.007407582,0.011734771,0.010867582,0.01291098,0.000555556,0,0,0,0.003638824,0.001722092,-0.007433856,0.01213451,0.010339739,0.007120784,0.000833333,0,0,0,0.001388889,0.003536993,-0.005708497,0.011241046,5.25E-05,0.000277778,0.000277778,0,0,0,0,0.000833333,0.000277778,0.000805621,0.000277778,0.000277778,0,0,albania
0,0,0.002418301,0.002140523,0.000555556,0.000277778,0.000555556,0.000555556,0,0,0,0,0.002418301,-0.010588235,0.044600261,-0.004734771,0.079081176,0.073681438,0.000555556,0,0,0,0.00482902,-0.109551242,0.030943922,0.018954248,0.223375948,0.135008758,0.000833333,0,0,0,0.005384575,-0.137325229,-0.011895425,0.085666144,0.224303529,0.125159608,0.000833333,0,0,0,0.005662353,-0.031683007,-0.061793595,0.156103529,0.130360654,0.120417255,0.000555556,0,0,0,0.002038693,0.00270366,-0.135095425,0.187134118,0.038558301,0.062626928,0.000555556,0,0,0,0.000270196,0.006605098,-0.020911242,0.112889542,0.008366013,0.000555556,0,0,0,0,0,0,0.002418301,0.000277778,0.000277778,0,0,0,albania
0.002614379,0,9.42E-05,0.000833333,0.000751634,0.000555556,0.000277778,0,0,0,0,0,0.003068105,-0.004429281,-0.001292026,0.015497516,0.040069804,0.000922614,0,0,0,0,0.005290327,-0.031211242,7.58E-06,0.037835033,0.091783529,0.000367059,0,0,0,0,0.004523529,-0.038864444,-0.019391373,0.05207817,0.087143007,0.000277778,0,0,0,0,0.00602183,-0.032036993,-0.039794641,0.050312288,0.057531895,0.000277778,0,0,0,0,0.004538693,-0.008298039,-0.03824732,0.055679346,0.04480719,0.000555556,0,0,0,0,0.000833333,0.001103529,-0.005079085,0.028637124,0.000453725,0,0,0,0,0,0,0,0.001388889,0.000277778,0.000277778,0,0,0,albania
0.008149804,0.007867059,0.007222222,0.005,0.001564837,0.000657386,-0.003509281,-0.005833333,-0.006755948,-0.003333333,0.00897817,0.009072418,0.008035425,0.006470588,0.006641569,-0.000731503,0.004206928,-0.003006536,-0.008055556,-0.004166667,0.010183529,0.010277778,0.011356209,0.000735294,0.027471111,-0.006470588,0.028958039,0.003284314,-0.007953725,-0.004905752,0.010277778,0.010833333,0.011356209,0.00875817,0.044411765,-0.004604052,0.033063137,0.00115634,-0.006361176,-0.005,0.010277778,0.010833333,0.011078431,-0.009208105,0.035902484,-0.002614379,0.030922614,-0.002544052,-0.006361176,-0.005,0.010183529,0.010277778,0.008950458,0.005751634,-0.002422092,0.013059346,0.010453725,-0.003467843,-0.007851895,-0.004905752,0.00897817,0.009166667,0.006842614,0.006748366,0.003137255,0.007287582,-0.004166667,-0.005074118,-0.008333333,-0.004166667,0.008149804,0.007867059,0.007222222,0.005,0.001564837,0.00010183,-0.003611111,-0.005453725,-0.006755948,-0.003333333,albania
